mss0,mss1,mss2,mss3,mss4
0.267734387,0.273063984,0.273063984,0.273063984,0.273063984
0.560911508,0.165688044,0.560911508,0.560911508,0.560911508
0.6988790909999999,0.6988790909999999,0.6988790909999999,0.272913967,0.6988790909999999
0.113804061,0.113804061,0.09169641699999999,0.113804061,0.113804061
0.44729130899999997,0.634629879,0.634629879,0.634629879,0.634629879
0.8186545540000001,0.8186545540000001,0.8186545540000001,0.8186545540000001,0.41976291200000004
0.42667899299999995,0.42667899299999995,0.42667899299999995,0.42667899299999995,0.157548955
0.14221111,0.12447169300000001,0.14221111,0.14221111,0.14221111
0.649821489,0.649821489,0.649821489,0.649821489,0.409068991
0.8186545540000001,0.8186545540000001,0.8186545540000001,0.427333106,0.8186545540000001
0.456970136,0.515084286,0.515084286,0.515084286,0.515084286
0.15740827699999999,0.15740827699999999,0.14624142199999998,0.15740827699999999,0.15740827699999999
0.368562711,0.368562711,0.368562711,0.21122057600000002,0.368562711
0.395531096,0.395531096,0.395531096,0.395531096,0.232791133
0.192741589,0.192741589,0.192741589,0.192741589,0.192554065
0.11428607,0.12810759300000002,0.12810759300000002,0.12810759300000002,0.12810759300000002
0.235223367,0.556993475,0.556993475,0.556993475,0.556993475
0.30332375,0.30332375,0.303039926,0.30332375,0.30332375
0.235441717,0.234168774,0.235441717,0.235441717,0.235441717
0.521905336,0.521905336,0.521905336,0.303150307,0.521905336
0.328317511,0.328317511,0.328317511,0.328317511,0.139734787
0.17064933399999999,0.177151405,0.177151405,0.177151405,0.177151405
0.159957775,0.201297442,0.201297442,0.201297442,0.201297442
0.24048560600000002,0.343095672,0.343095672,0.343095672,0.343095672
0.330208638,0.24481387899999998,0.330208638,0.330208638,0.330208638
0.676893787,0.676893787,0.676893787,0.676893787,0.559927318
0.485046021,0.419091515,0.485046021,0.485046021,0.485046021
0.670270344,0.670270344,0.266229139,0.670270344,0.670270344
0.370203076,0.29714559399999996,0.370203076,0.370203076,0.370203076
0.649120601,0.649120601,0.649120601,0.42293828899999997,0.649120601
0.291673601,0.291673601,0.291673601,0.291673601,0.272290934
0.23929644100000003,0.235441717,0.23929644100000003,0.23929644100000003,0.23929644100000003
0.201275798,0.201275798,0.201275798,0.15574312099999998,0.201275798
0.715581063,0.7376349320000001,0.7376349320000001,0.7376349320000001,0.7376349320000001
0.245671622,0.245671622,0.245671622,0.150342397,0.245671622
0.059468869,0.06074099,0.06074099,0.06074099,0.06074099
0.8381583,0.8381583,0.326786839,0.8381583,0.8381583
0.728011121,0.311903135,0.728011121,0.728011121,0.728011121
0.54326411,0.20589929899999998,0.54326411,0.54326411,0.54326411
0.485046021,0.485046021,0.485046021,0.35433097,0.485046021
0.289376264,0.294815295,0.294815295,0.294815295,0.294815295
0.807310373,0.807310373,0.807310373,0.807310373,0.786288788
0.515084286,0.515084286,0.498078201,0.515084286,0.515084286
0.10983160900000001,0.11184720599999999,0.11184720599999999,0.11184720599999999,0.11184720599999999
0.649120601,0.649120601,0.649120601,0.410767457,0.649120601
0.25273492,0.25273492,0.18738921600000003,0.25273492,0.25273492
